name,description,retired,uuid
"Kasitu Health Centre","Health Centre , Private Health Facility",0,ba1ac168-8d80-11d8-abbb-0024217bb78e
"Kasiya Health Centre","Health Centre , Public Health Facility",0,ba1ac3b6-8d80-11d8-abbb-0024217bb78e
"Kasungu District Health Office","District Health Office , Public Health Facility",0,ba1acb72-8d80-11d8-abbb-0024217bb78e
"Kasungu District Hospital","District Hospital , Public Health Facility",0,ba1ad234-8d80-11d8-abbb-0024217bb78e
"Kasungu Health Area","Health Area , Public Administrative Unit",0,ba1ad892-8d80-11d8-abbb-0024217bb78e
"Kasungu Health District","Health District , Public Administrative Unit",0,ba1ae710-8d80-11d8-abbb-0024217bb78e
"Katema Health Centre","Health Centre , Private Health Facility",0,ba1ae814-8d80-11d8-abbb-0024217bb78e
"Katete Rural Hospital","Rural Hospital , Private Health Facility",0,ba1ae90e-8d80-11d8-abbb-0024217bb78e
"Katimbila Health Centre","Health Centre , Public Health Facility",0,ba1aea08-8d80-11d8-abbb-0024217bb78e
"Katowo Rural Hospital","Rural Hospital , Public Health Facility",0,ba1aeb02-8d80-11d8-abbb-0024217bb78e
"Katsekera Health Centre","Health Centre , Public Health Facility",0,ba1aebf2-8d80-11d8-abbb-0024217bb78e
"Katuli Health Centre","Health Centre , Public Health Facility",0,ba1aecec-8d80-11d8-abbb-0024217bb78e
"Kaundu Health Centre","Health Centre , Private Health Facility",0,ba1aede6-8d80-11d8-abbb-0024217bb78e
"Kawale Banja La Mtsogolo Dispensary","Dispensary , Private Health Facility",0,ba1aeed6-8d80-11d8-abbb-0024217bb78e
"Kawale Urban Health Centre","Health Centre , Public Health Facility",0,ba1aefd0-8d80-11d8-abbb-0024217bb78e
"Kawamba Health Centre","Health Centre , Public Health Facility",0,ba1af0c0-8d80-11d8-abbb-0024217bb78e
"Kawinga Health Centre (Machinga)","Dispensary , Public Health Facility",0,ba1af1ba-8d80-11d8-abbb-0024217bb78e
"Kayembe Health Centre","Health Centre , Public Health Facility",0,ba1af2aa-8d80-11d8-abbb-0024217bb78e
"Kazyozyo Maternity","Maternity , Public Health Facility",0,ba1af3a4-8d80-11d8-abbb-0024217bb78e
"Khasu Health Centre","Health Centre , Public Health Facility",0,ba1af494-8d80-11d8-abbb-0024217bb78e
"Khola Health Centre","Health Centre , Private Health Facility",0,ba1af58e-8d80-11d8-abbb-0024217bb78e
"Khombedza Health Centre","Health Centre , Public Health Facility",0,ba1af67e-8d80-11d8-abbb-0024217bb78e
"Khondowe Health Centre","Health Centre , Public Health Facility",0,ba1af76e-8d80-11d8-abbb-0024217bb78e
"Khongoni Health Centre","Health Centre , Public Health Facility",0,ba1af868-8d80-11d8-abbb-0024217bb78e
"Khonjeni Health Centre","Health Centre , Public Health Facility",0,ba1af958-8d80-11d8-abbb-0024217bb78e
"Khosolo Health Centre","Health Centre , Public Health Facility",0,ba1afa52-8d80-11d8-abbb-0024217bb78e
"Khuwi Health Centre","Health Centre , Public Health Facility",0,ba1afb42-8d80-11d8-abbb-0024217bb78e
"Koche Health Centre","Health Centre , Private Health Facility",0,ba1afc3c-8d80-11d8-abbb-0024217bb78e
"Kochilira Rural Hospital","Rural Hospital , Public Health Facility",0,ba1afd2c-8d80-11d8-abbb-0024217bb78e
"KTFT Dispensary (Mziza)","Dispensary , Private Health Facility",0,ba1afe1c-8d80-11d8-abbb-0024217bb78e
"Kukalanga Dispensary","Dispensary , Public Health Facility",0,ba1aff16-8d80-11d8-abbb-0024217bb78e
"Kunenekude Health Centre","Health Centre , Public Health Facility",0,ba1b0006-8d80-11d8-abbb-0024217bb78e
"Kwitanda Health Centre","Health Centre , Public Health Facility",0,ba1b0100-8d80-11d8-abbb-0024217bb78e
"Lakeview Health Centre","Health Centre , Private Health Facility",0,ba1b01fa-8d80-11d8-abbb-0024217bb78e
"Lambulira Health Centre","Health Centre , Public Health Facility",0,ba1b02ea-8d80-11d8-abbb-0024217bb78e
"Lemwe Health Centre","Health Centre , Public Health Facility",0,ba1b03e4-8d80-11d8-abbb-0024217bb78e
"Lengwe Dispensary","Dispensary , Public Health Facility",0,ba1b04d4-8d80-11d8-abbb-0024217bb78e
"Lifuwu Health Centre","Dispensary , Public Health Facility",0,ba1b05ce-8d80-11d8-abbb-0024217bb78e
"Likangala Health Centre","Health Centre , Public Health Facility",0,ba1b06c8-8d80-11d8-abbb-0024217bb78e
"Likoma District Health Office","District Health Office , Public Health Facility",0,ba1b8a58-8d80-11d8-abbb-0024217bb78e
"Likoma Health Area","Health Area , Public Administrative Unit",0,ba1b8b66-8d80-11d8-abbb-0024217bb78e
"Likoma Health District","Health District , Public Administrative Unit",0,ba1b8c60-8d80-11d8-abbb-0024217bb78e
"Likuni Hospital","Hospital , Private Health Facility",0,ba1b8d50-8d80-11d8-abbb-0024217bb78e
"Lilongwe Bottom Hospital","Hospital , Public Health Facility (arv code: LBH)",0,ba1b8e54-8d80-11d8-abbb-0024217bb78e
"Lilongwe Central Hospital","Central Hospital , Public Health Facility",0,ba1b8f4e-8d80-11d8-abbb-0024217bb78e
"Lilongwe District Health Office","District Health Office , Public Health Facility",0,ba1b9048-8d80-11d8-abbb-0024217bb78e
"Lilongwe Health Area","Health Area , Public Administrative Unit",0,ba1b9142-8d80-11d8-abbb-0024217bb78e
"Lilongwe Health District","Health District , Public Administrative Unit",0,ba1b9296-8d80-11d8-abbb-0024217bb78e
"Limbe Health Centre","Health Centre , Public Health Facility",0,ba1b9390-8d80-11d8-abbb-0024217bb78e
"Linyangwa Health Centre","Health Centre , Private Health Facility",0,ba1b948a-8d80-11d8-abbb-0024217bb78e
"Lirangwe Health Centre","Health Centre , Public Health Facility",0,ba1b957a-8d80-11d8-abbb-0024217bb78e
"Lisungwi Health Centre","Health Centre , Public Health Facility",0,ba1b9674-8d80-11d8-abbb-0024217bb78e
"Liuzi Health Centre","Health Centre , Public Health Facility",0,ba1b9764-8d80-11d8-abbb-0024217bb78e
"Liwaladzi Health Centre","Health Centre , Private Health Facility",0,ba1b9868-8d80-11d8-abbb-0024217bb78e
"Lizulu Health Centre","Health Centre , Public Health Facility",0,ba1b9a02-8d80-11d8-abbb-0024217bb78e
"Lobi Rural Health Centre","Health Centre , Public Health Facility",0,ba1b9b88-8d80-11d8-abbb-0024217bb78e
"Ludzi St Josephs Health Centre","Health Centre , Private Health Facility",0,ba1b9e58-8d80-11d8-abbb-0024217bb78e
"Lugola Health Centre","Health Centre , Private Health Facility",0,ba1b9ffc-8d80-11d8-abbb-0024217bb78e
"Lujeri Health Centre","Health Centre , Private Health Facility",0,ba1ba196-8d80-11d8-abbb-0024217bb78e
"Lulanga Health Centre","Health Centre , Private Health Facility",0,ba1ba330-8d80-11d8-abbb-0024217bb78e
"Lulwe Health Centre","Health Centre , Private Health Facility",0,ba1ba4d4-8d80-11d8-abbb-0024217bb78e
"Lumbadzi Health Centre","Health Centre , Public Health Facility",0,ba1ba664-8d80-11d8-abbb-0024217bb78e
"Lundu Health Centre","Health Centre , Public Health Facility",0,ba1ba7f4-8d80-11d8-abbb-0024217bb78e
"Lungwena Health Centre","Health Centre , Public Health Facility",0,ba1ba98e-8d80-11d8-abbb-0024217bb78e
"Lunjika Health Centre","Health Centre , Private Health Facility",0,ba1bab1e-8d80-11d8-abbb-0024217bb78e
"Lupembe Health Centre","Health Centre , Public Health Facility",0,ba1bacb8-8d80-11d8-abbb-0024217bb78e
"Luvwere Health Centre ","Dispensary , Public Health Facility",0,ba1bae48-8d80-11d8-abbb-0024217bb78e
"Luwalika Health Centre","Health Centre , Private Health Facility",0,ba1bafd8-8d80-11d8-abbb-0024217bb78e
"Luwani Health Centre","Health Centre , Public Health Facility",0,ba1bb172-8d80-11d8-abbb-0024217bb78e
"Luwawa Health Centre","Health Centre , Public Health Facility",0,ba1bb302-8d80-11d8-abbb-0024217bb78e
"Luwerezi Health Centre","Health Centre , Public Health Facility",0,ba1bb49c-8d80-11d8-abbb-0024217bb78e
"Luwuchi Health Centre","Health Centre , Private Health Facility",0,ba1bb636-8d80-11d8-abbb-0024217bb78e
"Luzi Health Centre","Health Centre , Public Health Facility",0,ba1bb7c6-8d80-11d8-abbb-0024217bb78e
"Lwazi Dispensary","Dispensary , Private Health Facility",0,ba1bb8c0-8d80-11d8-abbb-0024217bb78e
"Lwezga Health Centre","Health Centre , Public Health Facility",0,ba1bb9b0-8d80-11d8-abbb-0024217bb78e
"Mabili Health Centre","Health Centre , Private Health Facility",0,ba1bbaaa-8d80-11d8-abbb-0024217bb78e
"Machinga District Health Office","District Health Office , Public Health Facility",0,ba1bbba4-8d80-11d8-abbb-0024217bb78e
"Machinga District Hospital","District Hospital , Public Health Facility",0,ba1bbc94-8d80-11d8-abbb-0024217bb78e
"Machinga Health Area","Health Area , Public Administrative Unit",0,ba1bbd8e-8d80-11d8-abbb-0024217bb78e
"Machinga Health Centre","Health Centre , Public Health Facility",0,ba1bbe7e-8d80-11d8-abbb-0024217bb78e
"Machinga Health District","Health District , Public Administrative Unit",0,ba1bbf6e-8d80-11d8-abbb-0024217bb78e
"Madede Health Centre","Health Centre , Public Health Facility",0,ba1bc068-8d80-11d8-abbb-0024217bb78e
"Madisi Hospital","Hospital , Private Health Facility",0,ba1bc162-8d80-11d8-abbb-0024217bb78e
"Madziabango Health Centre","Health Centre , Public Health Facility",0,ba1bc252-8d80-11d8-abbb-0024217bb78e
"Mafco Health Centre","Health Centre , Public Health Facility",0,ba1bc342-8d80-11d8-abbb-0024217bb78e
"Maganga Health Centre","Health Centre , Public Health Facility",0,ba1bc43c-8d80-11d8-abbb-0024217bb78e
"Magareta Health Centre","Health Centre , Public Health Facility",0,ba1bc52c-8d80-11d8-abbb-0024217bb78e
"Magomero Health Centre","Health Centre , Private Health Facility",0,ba1bc61c-8d80-11d8-abbb-0024217bb78e
"Makanjira Health Centre","Health Centre , Public Health Facility",0,ba1bc70c-8d80-11d8-abbb-0024217bb78e
"Makapwa Health Centre","Health Centre , Private Health Facility",0,ba1bc806-8d80-11d8-abbb-0024217bb78e
"Makata Dispensary","Dispensary , Public Health Facility",0,ba1bc8f6-8d80-11d8-abbb-0024217bb78e
"Makhanga Health Centre","Health Centre , Public Health Facility",0,ba1bc9e6-8d80-11d8-abbb-0024217bb78e
"Makhwira Health Centre","Health Centre , Public Health Facility",0,ba1bcae0-8d80-11d8-abbb-0024217bb78e
"Makiyoni Health Centre","Health Centre , Public Health Facility",0,ba1bcbd0-8d80-11d8-abbb-0024217bb78e
"Makwapala Health Centre","Health Centre , Public Health Facility",0,ba1bccc0-8d80-11d8-abbb-0024217bb78e
"Malamulo Hospital","Hospital , Private Health Facility",0,ba1bcdba-8d80-11d8-abbb-0024217bb78e
"Malawi (National government)","Country , Public Administrative Unit",0,ba1bceaa-8d80-11d8-abbb-0024217bb78e
"Malawi Zone","Zone , Public Administrative Unit",0,ba1bcf9a-8d80-11d8-abbb-0024217bb78e
"Malembo Health Centre (Lilongwe)","Health Centre , Public Health Facility",0,ba1bd08a-8d80-11d8-abbb-0024217bb78e
"Malembo Health Centre (Lilongwe)","Health Centre , Public Health Facility",0,ba1bd17a-8d80-11d8-abbb-0024217bb78e
"Malidadi Health Centre","Health Centre , Public Health Facility",0,ba1bd274-8d80-11d8-abbb-0024217bb78e
"Malingunde Health Centre","Health Centre , Private Health Facility",0,ba1bd364-8d80-11d8-abbb-0024217bb78e
"Maloa Dispensary","Dispensary , Public Health Facility",0,ba1bd454-8d80-11d8-abbb-0024217bb78e
"Malombe Health Centre","Health Centre , Public Health Facility",0,ba1bd54e-8d80-11d8-abbb-0024217bb78e
"Malomo Health Centre","Health Centre , Public Health Facility",0,ba1bd63e-8d80-11d8-abbb-0024217bb78e
"Maluwa Health Centre","Health Centre , Public Health Facility",0,ba1bd72e-8d80-11d8-abbb-0024217bb78e
"Mangamba Dispensary","Dispensary , Public Health Facility",0,ba1bd81e-8d80-11d8-abbb-0024217bb78e
"Mangochi District Health Office","District Health Office , Public Health Facility",0,ba1bd918-8d80-11d8-abbb-0024217bb78e
"Mangochi District Hospital","District Hospital , Public Health Facility",0,ba1bda12-8d80-11d8-abbb-0024217bb78e
"Mangochi Health Area","Health Area , Public Administrative Unit",0,ba1c5cb2-8d80-11d8-abbb-0024217bb78e
"Mangochi Health District","Health District , Public Administrative Unit",0,ba1c5dc0-8d80-11d8-abbb-0024217bb78e
"Mangunda Maternity","Maternity , Public Health Facility",0,ba1c5eba-8d80-11d8-abbb-0024217bb78e
"Manjawira Maternity","Maternity , Public Health Facility",0,ba1c5faa-8d80-11d8-abbb-0024217bb78e
"Manyamula Health Centre","Health Centre , Public Health Facility",0,ba1c60a4-8d80-11d8-abbb-0024217bb78e
"Maonde Health Centre","Health Centre , Public Health Facility",0,ba1c6194-8d80-11d8-abbb-0024217bb78e
"Mapanga Maternity","Maternity , Public Health Facility",0,ba1c6284-8d80-11d8-abbb-0024217bb78e
"Mapelera Health Centre","Health Centre , Public Health Facility",0,ba1c637e-8d80-11d8-abbb-0024217bb78e
"Masasa Health Centre","Dispensary , Public Health Facility",0,ba1c6874-8d80-11d8-abbb-0024217bb78e
"Mase Health Centre","Health Centre , Private Health Facility",0,ba1c696e-8d80-11d8-abbb-0024217bb78e
"Masenjere Health Centre","Health Centre , Public Health Facility",0,ba1c6a5e-8d80-11d8-abbb-0024217bb78e
"Matanda Health Centre (Dispensary)","Dispensary , Private Health Facility",0,ba1c6b4e-8d80-11d8-abbb-0024217bb78e
"Matandani Health Centre","Health Centre , Private Health Facility",0,ba1c6c48-8d80-11d8-abbb-0024217bb78e
"Matapila Health Centre","Health Centre , Public Health Facility",0,ba1c6d42-8d80-11d8-abbb-0024217bb78e
"Matawale Urban Health Centre","Health Centre , Public Health Facility",0,ba1c6e32-8d80-11d8-abbb-0024217bb78e
"Matiki Health Centre","Health Centre , Public Health Facility",0,ba1c6f2c-8d80-11d8-abbb-0024217bb78e
"Matiya Health Centre","Health Centre , Private Health Facility",0,ba1c7026-8d80-11d8-abbb-0024217bb78e
"Matope Health Centre","Health Centre , Private Health Facility",0,ba1c7116-8d80-11d8-abbb-0024217bb78e
"Matuli Health Centre","Dispensary , Public Health Facility",0,ba1c7210-8d80-11d8-abbb-0024217bb78e
"Matumba Health Centre","Health Centre , Private Health Facility",0,ba1c7314-8d80-11d8-abbb-0024217bb78e
"Mauwa Health Centre","Health Centre , Public Health Facility",0,ba1c7404-8d80-11d8-abbb-0024217bb78e
"Mauwa Maternity","Maternity , Public Health Facility",0,ba1c74f4-8d80-11d8-abbb-0024217bb78e
"Mayaka Health Centre","Health Centre , Private Health Facility",0,ba1c75da-8d80-11d8-abbb-0024217bb78e
"Mayani Health Centre","Health Centre , Public Health Facility",0,ba1c76c0-8d80-11d8-abbb-0024217bb78e
"Mbabvi Health Centre","Health Centre , Public Health Facility",0,ba1c77a6-8d80-11d8-abbb-0024217bb78e
"Mbalachanda Health Centre","Health Centre , Public Health Facility",0,ba1c788c-8d80-11d8-abbb-0024217bb78e
"Mbalanguzi Dispensary","Dispensary , Public Health Facility",0,ba1c7972-8d80-11d8-abbb-0024217bb78e
"Mbang'ombe 1 Health Centre","Health Centre , Public Health Facility",0,ba1c7a58-8d80-11d8-abbb-0024217bb78e
"Mbang'ombe 2 Health Centre","Health Centre , Public Health Facility",0,ba1c7ff8-8d80-11d8-abbb-0024217bb78e
"Mbenje Health Centre","Health Centre , Public Health Facility",0,ba1c823c-8d80-11d8-abbb-0024217bb78e
"Mbera Health Centre","Health Centre , Public Health Facility",0,ba1c832c-8d80-11d8-abbb-0024217bb78e
"Mbingwa Health Centre","Health Centre , Public Health Facility",0,ba1c841c-8d80-11d8-abbb-0024217bb78e
"Mbiza Health Centre","Health Centre , Public Health Facility",0,ba1c8520-8d80-11d8-abbb-0024217bb78e
"Mbonechera Health Centre","Dispensary , Public Health Facility",0,ba1c8610-8d80-11d8-abbb-0024217bb78e
"Mbulumbudzi Health Centre","Health Centre , Public Health Facility",0,ba1c8cf0-8d80-11d8-abbb-0024217bb78e
"Mbulumbudzi Maternity","Maternity , Public Health Facility",0,ba1c8de0-8d80-11d8-abbb-0024217bb78e
"Mbwatalika Health Centre","Health Centre , Private Health Facility",0,ba1c8ebc-8d80-11d8-abbb-0024217bb78e
"Mchacha Dispensary","Dispensary , Public Health Facility",0,ba1c8fa2-8d80-11d8-abbb-0024217bb78e
"Mchinji District Health Office","District Health Office , Public Health Facility",0,ba1ca7ee-8d80-11d8-abbb-0024217bb78e
"Mchinji District Hospital","District Hospital , Public Health Facility",0,ba1ca97e-8d80-11d8-abbb-0024217bb78e
"Mchinji Health Area","Health Area , Public Administrative Unit",0,ba1cab04-8d80-11d8-abbb-0024217bb78e
"Mchinji Health District","Health District , Public Administrative Unit",0,ba1cb284-8d80-11d8-abbb-0024217bb78e
"Mchoka Health Centre","Health Centre , Public Health Facility",0,ba1cb3f6-8d80-11d8-abbb-0024217bb78e
"Mdeka Health Centre","Health Centre , Public Health Facility",0,ba1cbae0-8d80-11d8-abbb-0024217bb78e
"Mfera Health Centre","Health Centre , Public Health Facility",0,ba1cbc5c-8d80-11d8-abbb-0024217bb78e
"Mhalaunda Health Centre","Health Centre , Public Health Facility",0,ba1cc512-8d80-11d8-abbb-0024217bb78e
"Mhuju Rural Hospital","Rural Hospital , Public Health Facility",0,ba1ccb52-8d80-11d8-abbb-0024217bb78e
"Migowi Health Centre","Health Centre , Public Health Facility",0,ba1cd17e-8d80-11d8-abbb-0024217bb78e
"Mikolongwe Health Centre","Health Centre , Public Health Facility",0,ba1cdeb2-8d80-11d8-abbb-0024217bb78e
"Mikondo Dispensary","Dispensary , Private Health Facility",0,ba1cdfb6-8d80-11d8-abbb-0024217bb78e
"Mikundi Health Centre","Health Centre , Public Health Facility",0,ba1ce0b0-8d80-11d8-abbb-0024217bb78e
"Milepa Health Centre","Health Centre , Public Health Facility",0,ba1ce1aa-8d80-11d8-abbb-0024217bb78e
"Milonde Health Centre","Health Centre , Public Health Facility",0,ba1ce2ae-8d80-11d8-abbb-0024217bb78e
"Mimosa Dispensary","Dispensary , Public Health Facility",0,ba1ce3a8-8d80-11d8-abbb-0024217bb78e
"Ming'ongo Health Centre","Health Centre , Public Health Facility",0,ba1ce498-8d80-11d8-abbb-0024217bb78e
"Misamvu Dispensary","Dispensary , Public Health Facility",0,ba1ce592-8d80-11d8-abbb-0024217bb78e
"Misomali Health Centre","Health Centre , Private Health Facility",0,ba1ce68c-8d80-11d8-abbb-0024217bb78e
"Misuku Health Centre","Health Centre , Public Health Facility",0,ba1ce786-8d80-11d8-abbb-0024217bb78e
"Mitsidi Dispensary","Dispensary , Private Health Facility",0,ba1ce876-8d80-11d8-abbb-0024217bb78e
"Mitundu Rural Hospital","Rural Hospital , Public Health Facility",0,ba1ce970-8d80-11d8-abbb-0024217bb78e
"Mkanda Health Centre","Health Centre , Public Health Facility",0,ba1cea6a-8d80-11d8-abbb-0024217bb78e
"Mkango Dispensary","Dispensary , Public Health Facility",0,ba1ceb5a-8d80-11d8-abbb-0024217bb78e
"Mkhota Rural Growth Health Centre","Health Centre , Public Health Facility",0,ba1cec54-8d80-11d8-abbb-0024217bb78e
"Mkhuzi Health Centre","Health Centre , Public Health Facility",0,ba1ced4e-8d80-11d8-abbb-0024217bb78e
"Mkhwayi Health Centre","Health Centre , Public Health Facility",0,ba1cee3e-8d80-11d8-abbb-0024217bb78e
"Mkoma Health Centre","Health Centre , Public Health Facility",0,ba1cef2e-8d80-11d8-abbb-0024217bb78e
"Mkumaniza Health Centre","Health Centre , Public Health Facility",0,ba1cf028-8d80-11d8-abbb-0024217bb78e
"Mkumba Health Centre","Health Centre , Public Health Facility",0,ba1cf122-8d80-11d8-abbb-0024217bb78e
"Mkwepere Health Centre","Dispensary , Public Health Facility",0,ba1cf212-8d80-11d8-abbb-0024217bb78e
"Mlale Mission Hospital","Hospital , Private Health Facility",0,ba1cf302-8d80-11d8-abbb-0024217bb78e
"Mlambe Hospital","Hospital , Private Health Facility",0,ba1d83bc-8d80-11d8-abbb-0024217bb78e
"Mlanda Health Centre","Health Centre , Private Health Facility",0,ba1d84ca-8d80-11d8-abbb-0024217bb78e
"Mlangali Dispensary","Dispensary , Public Health Facility",0,ba1d85c4-8d80-11d8-abbb-0024217bb78e
"Mlangeni Health Centre","Health Centre , Public Health Facility",0,ba1d86be-8d80-11d8-abbb-0024217bb78e
"Mlangeni Police Health Centre","Health Centre , Public Health Facility",0,ba1d87b8-8d80-11d8-abbb-0024217bb78e
"Mlodza SDA Dispensary","Dispensary , Private Health Facility",0,ba1d88a8-8d80-11d8-abbb-0024217bb78e
"Mlolo Dispensary","Dispensary , Public Health Facility",0,ba1d89a2-8d80-11d8-abbb-0024217bb78e
"Mlomba Dispensary","Dispensary , Public Health Facility",0,ba1d8a92-8d80-11d8-abbb-0024217bb78e
"Mlowe Health Centre","Health Centre , Private Health Facility",0,ba1d8b8c-8d80-11d8-abbb-0024217bb78e
"Monkey-Bay Health Centre","Health Centre , Public Health Facility",0,ba1d8c86-8d80-11d8-abbb-0024217bb78e
"Mpala Health Centre","Health Centre , Public Health Facility",0,ba1d8d76-8d80-11d8-abbb-0024217bb78e
"Mpamantha Health Centre","Dispensary , Public Health Facility",0,ba1d8e70-8d80-11d8-abbb-0024217bb78e
"Mpamba Health Centre","Health Centre , Public Health Facility",0,ba1d8f60-8d80-11d8-abbb-0024217bb78e
"Mpasa Health Centre","Health Centre , Public Health Facility",0,ba1d9050-8d80-11d8-abbb-0024217bb78e
"Mpata Health Centre","Health Centre , Public Health Facility",0,ba1d914a-8d80-11d8-abbb-0024217bb78e
"Mpemba Health Centre","Health Centre , Public Health Facility",0,ba1d9244-8d80-11d8-abbb-0024217bb78e
"Mphathi Health Centre","Health Centre , Public Health Facility",0,ba1d9334-8d80-11d8-abbb-0024217bb78e
"Mphepozinai Dispensary","Dispensary , Public Health Facility",0,ba1d942e-8d80-11d8-abbb-0024217bb78e
"Mpherembe Health Centre","Health Centre , Public Health Facility",0,ba1d9528-8d80-11d8-abbb-0024217bb78e
"Mpherere Health Centre","Health Centre , Private Health Facility",0,ba1d9622-8d80-11d8-abbb-0024217bb78e
"Mphopha Health Centre","Health Centre , Public Health Facility",0,ba1d971c-8d80-11d8-abbb-0024217bb78e
"Mphunzi Health Centre","Health Centre , Private Health Facility",0,ba1d980c-8d80-11d8-abbb-0024217bb78e
"Mpiri Health Centre","Health Centre , Private Health Facility",0,ba1d9906-8d80-11d8-abbb-0024217bb78e
"Mpondas Health Centre","Health Centre , Private Health Facility",0,ba1d9a00-8d80-11d8-abbb-0024217bb78e
"Mponela Rural Hospital","Rural Hospital , Public Health Facility",0,ba1d9afa-8d80-11d8-abbb-0024217bb78e
"Mposa Health Centre","Health Centre , Private Health Facility",0,ba1d9bfe-8d80-11d8-abbb-0024217bb78e
"Msakambewa Health Centre","Health Centre , Public Health Facility",0,ba1d9d8e-8d80-11d8-abbb-0024217bb78e
"Msenjere Health Centre","Health Centre , Public Health Facility",0,ba1d9f1e-8d80-11d8-abbb-0024217bb78e
"Msese Health Centre","Health Centre , Public Health Facility",0,ba1da130-8d80-11d8-abbb-0024217bb78e
"Mtakataka Health Centre","Health Centre , Public Health Facility",0,ba1da2d4-8d80-11d8-abbb-0024217bb78e
"Mtende Health Centre","Health Centre , Public Health Facility",0,ba1da46e-8d80-11d8-abbb-0024217bb78e
"Mtendere Health Centre","Health Centre , Private Health Facility",0,ba1da608-8d80-11d8-abbb-0024217bb78e
"Mtengowanthenga Hospital","Hospital , Private Health Facility",0,ba1da7ac-8d80-11d8-abbb-0024217bb78e
"Mtenthera Health Centre","Health Centre , Public Health Facility",0,ba1da946-8d80-11d8-abbb-0024217bb78e
"Mtimabii Health Centre","Health Centre , Public Health Facility",0,ba1daae0-8d80-11d8-abbb-0024217bb78e
"Mtonda Health Centre","Health Centre , Private Health Facility",0,ba1dac7a-8d80-11d8-abbb-0024217bb78e
"Mtosa Health Centre","Health Centre , Public Health Facility",0,ba1dae14-8d80-11d8-abbb-0024217bb78e
"Mtunthama Health Centre","Health Centre , Public Health Facility",0,ba1dafa4-8d80-11d8-abbb-0024217bb78e
"Mtwalo Health Centre","Health Centre , Public Health Facility",0,ba1db134-8d80-11d8-abbb-0024217bb78e
"Mua Mission Hospital","Health Centre , Private Health Facility",0,ba1db2c4-8d80-11d8-abbb-0024217bb78e
"Mulanje District Health Office","District Health Office , Public Health Facility",0,ba1db45e-8d80-11d8-abbb-0024217bb78e
"Mulanje District Hospital","District Hospital , Public Health Facility",0,ba1db558-8d80-11d8-abbb-0024217bb78e
"Mulanje Health Area","Health Area , Public Administrative Unit",0,ba1db652-8d80-11d8-abbb-0024217bb78e
"Mulanje Health District","Health District , Public Administrative Unit",0,ba1db74c-8d80-11d8-abbb-0024217bb78e
"Mulanje Mission Hospital","Hospital , Private Health Facility",0,ba1db83c-8d80-11d8-abbb-0024217bb78e
"Mulibwanji Health Centre (Mangochi)","Health Centre , Private Health Facility",0,ba1db92c-8d80-11d8-abbb-0024217bb78e
"Mulomba Health Centre","Health Centre , Public Health Facility",0,ba1dba26-8d80-11d8-abbb-0024217bb78e
"Muloza Health Centre","Health Centre , Public Health Facility",0,ba1dbb16-8d80-11d8-abbb-0024217bb78e
"Muluma Dispensary","Dispensary , Private Health Facility",0,ba1dbc10-8d80-11d8-abbb-0024217bb78e
"Municipality Assembly Dispensary","Dispensary , Public Health Facility",0,ba1dbd00-8d80-11d8-abbb-0024217bb78e
"Mvera Army Camp Dispensary","Dispensary , Public Health Facility",0,ba1dbdf0-8d80-11d8-abbb-0024217bb78e
"Mvera Mission Hospital","Health Centre , Private Health Facility",0,ba1dbeea-8d80-11d8-abbb-0024217bb78e
"Mwanga Health Centre","Health Centre , Private Health Facility",0,ba1dbfda-8d80-11d8-abbb-0024217bb78e
"Mwangala Health Centre","Health Centre , Public Health Facility",0,ba1dc0d4-8d80-11d8-abbb-0024217bb78e
"Mwansambo Health Centre","Health Centre , Public Health Facility",0,ba1dc1c4-8d80-11d8-abbb-0024217bb78e
"Mwanza District Health Office","District Health Office , Public Health Facility",0,ba1dc2be-8d80-11d8-abbb-0024217bb78e
"Mwanza District Hospital","District Hospital , Public Health Facility",0,ba1dc3ae-8d80-11d8-abbb-0024217bb78e
"Mwanza Health Area","Health Area , Public Administrative Unit",0,ba1dc49e-8d80-11d8-abbb-0024217bb78e
"Mwanza Health District","Health District , Public Administrative Unit",0,ba1dc58e-8d80-11d8-abbb-0024217bb78e
"Mwazisi Health Centre","Health Centre , Public Health Facility",0,ba1dc688-8d80-11d8-abbb-0024217bb78e
"Mzalangwe Health Centre","Health Centre , Public Health Facility",0,ba1dc854-8d80-11d8-abbb-0024217bb78e
"Mzambazi Rural Hospital","Rural Hospital , Private Health Facility",0,ba1dc94e-8d80-11d8-abbb-0024217bb78e
"Mzandu Health Centre","Health Centre , Public Health Facility",0,ba1dca48-8d80-11d8-abbb-0024217bb78e
"Mzenga Health Centre","Health Centre , Public Health Facility",0,ba1dcb38-8d80-11d8-abbb-0024217bb78e
"Mzimba District Health Office","District Health Office , Public Health Facility",0,ba1dcc32-8d80-11d8-abbb-0024217bb78e
"Mzimba District Hospital","District Hospital , Public Health Facility",0,ba1dcd2c-8d80-11d8-abbb-0024217bb78e
"Mzimba Health Area","Health Area , Public Administrative Unit",0,ba1dce1c-8d80-11d8-abbb-0024217bb78e
"Mzimba Health District","Health District , Public Administrative Unit",0,ba1dcf16-8d80-11d8-abbb-0024217bb78e
"Mzokoto Health Centre","Health Centre , Public Health Facility",0,ba1dd006-8d80-11d8-abbb-0024217bb78e
"Mzuzu Central Hospital","Central Hospital , Public Health Facility",0,ba1dd100-8d80-11d8-abbb-0024217bb78e
